Abstract,True Title,Predicted Title,ROUGE Score,BLEU Score
"  Dijet angular distributions are measured over a wide range of dijet invariantmasses in pp collisions at sqrt(s) = 7 TeV, at the CERN LHC. The event sample,recorded with the CMS detector, corresponds to an integrated luminosity of 36inverse picobarns. The data are found to be in good agreement with thepredictions of perturbative QCD, and yield no evidence of quark compositeness.With a modified frequentist approach, a lower limit on the contact interactionscale for left-handed quarks of Lambda = 5.6 TeV (6.7 TeV) for destructive(constructive) interference is obtained at the 95% confidence level.","Uncertain classification of Variable Stars: handling observational GAPS
  and noise",A Probabilistic Approach to Automatic Classification of Variable Stars,0.4210526315789474,0.3653166213293175
"  We say a graph is $(d, d, \ldots, d, 0, \ldots, 0)$-colorable with $a$ of$d$'s and $b$ of $0$'s if $V(G)$ may be partitioned into $b$ independent sets$O_1,O_2,\ldots,O_b$ and $a$ sets $D_1, D_2,\ldots, D_a$ whose induced graphshave maximum degree at most $d$. The maximum average degree, $mad(G)$, of agraph $G$ is the maximum average degree over all subgraphs of $G$. In thisnote, for nonnegative integers $a, b$, we show that if $mad(G)< \frac{4}{3}a +b$, then $G$ is $(1_1, 1_2, \ldots, 1_a, 0_1, \ldots, 0_b)$-colorable.",Novel Higgs Decays and Dark Matter in the E(6)SSM,Dark Matter relic abundance in the Exceptional Supersymmetric Standard Model,0.380952380952381,0.5460241725418133
"  POLARBEAR-2 is a next-generation receiver for precision measurements of thepolarization of the cosmic microwave background (Cosmic Microwave Background(CMB)). Scheduled to deploy in early 2015, it will observe alongside theexisting POLARBEAR-1 receiver, on a new telescope in the Simons Array on CerroToco in the Atacama desert of Chile. For increased sensitivity, it will featurea larger area focal plane, with a total of 7,588 polarization sensitiveantenna-coupled Transition Edge Sensor (TES) bolometers, with a designsensitivity of 4.1 uKrt(s). The focal plane will be cooled to 250 milliKelvin,and the bolometers will be read-out with 40x frequency domain multiplexing,with 36 optical bolometers on a single SQUID amplifier, along with 2 darkbolometers and 2 calibration resistors. To increase the multiplexing factorfrom 8x for POLARBEAR-1 to 40x for POLARBEAR-2 requires additional bandwidthfor SQUID readout and well-defined frequency channel spacing. Extending tothese higher frequencies requires new components and design for the LC filterswhich define channel spacing. The LC filters are cold resonant circuits with aninductor and capacitor in series with each bolometer, and stray inductance inthe wiring and equivalent series resistance from the capacitors can affectbolometer operation. We present results from characterizing these new readoutcomponents. Integration of the readout system is being done first on a smallscale, to ensure that the readout system does not affect bolometer sensitivityor stability, and to validate the overall system before expansion into the fullreceiver. We present the status of readout integration, and the initial resultsand status of components for the full array.",First detection of stacked X-ray emission from cosmic web filaments,The X-ray emission from cosmic web filaments in ROSAT data,0.6363636363636364,0.5169731539571706
"  We consider a class of tachyon-like potentials, inspired by string theory,D-brane dynamics and cosmology in the context of classical and quantummechanics. Motivated by the trans-Plankcian problem in the very early stage ofcosmological evolution of the Universe, we consider the theoretical role ofDBI-type tachyon scalar field, defined over the field of real as well as$p$-adic numbers, i.e. archemedean and nonarchimedean spaces. To simplify theequation of motion for the scalar field, canonical transformations are definedand engaged. The corresponding quantum propagators in the Feynman path integralapproach on real and nonarchimedean spaces are calculated and discussed, as arepossibilities for a quantum adelic generalization and its application.","Kelvin Helmholtz instability in an ultrathin air film causes drop
  splashing on smooth surfaces",Spontaneous splashing on smooth surfaces,0.4210526315789473,0.11054202892156728
  Using a Correlation-OTDR and a modulation phase shift method we characterizedfour multi-core fibers. The results show that the differential delay depends onthe position of the core in the fiber and varies with temperature.,AutoGAN-based Dimension Reduction for Privacy Preservation,Dimensional Reduction-based Privacy Preservation,0.5,0.38753858253732953
"  The non-Fourier heat conduction phenomenon on room temperature is analyzedfrom various aspects. The first one shows its experimental side, in what formit occurs and how we treated it. It is demonstrated that the Guyer-Krumhanslequation can be the next appropriate extension of Fourier's law for roomtemperature phenomena in modeling of heterogeneous materials. The secondapproach provides an interpretation of generalized heat conduction equationsusing a simple thermomechanical background. Here, Fourier heat conduction iscoupled to elasticity via thermal expansion, resulting in a particulargeneralized heat equation for the temperature field. Both of the aforementionedapproaches show the size dependency of non-Fourier heat conduction. Finally, athird approach is presented, called pseudo-temperature modeling. It is shownthat non-Fourier temperature history can be produced by mixing differentsolutions of Fourier's law. That kind of explanation indicates theinterpretation of underlying heat conduction mechanics behind non-Fourierphenomena.","A sparse control approach to optimal sensor placement in PDE-constrained
  parameter estimation problems","A systematic approach to optimal placement of finite-dimensional
  points",0.41666666666666663,0.24064264705621605
"  Scale selection methods based on local extrema over scale of scale-normalizedderivatives have been primarily developed to be applied sparsely --- at imagepoints where the magnitude of a scale-normalized differential expressionadditionally assumes local extrema over the domain where the data are defined.This paper presents a methodology for performing dense scale selection, so thathypotheses about local characteristic scales in images, temporal signals andvideo can be computed at every image point and every time moment.  A critical problem when designing mechanisms for dense scale selection isthat the scale at which scale-normalized differential entities assume localextrema over scale can be strongly dependent on the local order of the locallydominant differential structure. To address this problem, we propose amethodology where local extrema over scale are detected of a quasi quadraturemeasure involving scale-space derivatives up to order two and propose twoindependent mechanisms to reduce the phase dependency of the local scaleestimates by: (i) introducing a second layer of post-smoothing prior to thedetection of local extrema over scale and (ii) performing local phasecompensation based on a model of the phase dependency of the local scaleestimates depending on the relative strengths between first- vs. second-orderdifferential structure.  This general methodology is applied over three types of domains: (i) spatialimages, (ii) temporal signals and (iii) spatio-temporal video. Experiments showthat the proposed methodology leads to intuitively reasonable results withlocal scale estimates that reflect variations in the characteristic scales oflocally dominant structures over space and time.","A simple and efficient numerical method for computing the dynamics of
  rotating Bose-Einstein condensates via a rotating Lagrangian coordinate","A Time-Splitting Spectral Method for Computing the Dynamics of Rotating
  Bose",0.5625000000000001,0.37524619246121804
"  We study fermionic T-duality symmetries of integrable Green-Schwarzsigma-models on Anti-de-Sitter backgrounds with Ramond-Ramond fluxes,constructed as Z_4 supercosets of superconformal algebras. We find threealgebraic conditions that guarantee self-duality of the backgrounds underfermionic T-duality, we classify those that satisfy them and construct the mapof the monodromy matrix. We introduce new T-duality directions, where some ofthem contain no bosonic directions, along which the backgrounds are self-dual.We find that the only self-dual backgrounds are AdS_n x S^n for n=2,3,5. Inaddition we find that the backgrounds AdS_n x S^1 for n=2,3,5, AdS_4 x S^2 andAdS_2 x S^4 are self-dual at the level of the classical action, but have anon-trivial transformation of the dilaton.","Controllability on relaxation-free subspaces: On the relationship
  between adiabatic population transfer and optimal control",Optimal control of transfer via intermediate decaying states,0.1739130434782609,0.33401359264888447
"  We present a contemporary perspective on the String Landscape and theMultiverse of plausible string, M- and F-theory vacua, seeking to demonstrate anon-zero probability for the existence of a universe matching our own observedphysics within the solution ensemble, arguing for the importance of No-ScaleSupergravity as an essential common underpinning. Our context is a highlydetailed phenomenological probe of No-Scale F-SU(5), a model representing theintersection of the F-lipped SU(5) X U(1)_X Grand Unified Theory (GUT) withextra TeV-Scale vector-like multiplets derived out of F-theory, and thedynamics of No-Scale Supergravity. We present a highly constrained ""Golden""region with tan(beta) \sim 15, m_t = 173.0 - 174.4 GeV, M_1/2 = 455 - 481 GeV,and M_V = 691 - 1020 GeV, which simultaneously satisfies all known experimentalconstraints. We supplement this bottom-up phenomenological perspective with atop-down theoretical analysis of the one-loop effective Higgs potential,achieving a striking consonance via the dynamic determination of tan(beta) andM_1/2 at the local secondary minimization of the spontaneously brokenelectroweak Higgs vacuum V_min. We present the distinctive signatures ofNo-Scale F-SU(5) at the LHC, where a light stop and gluino are expected togenerate a surplus of ultra-high multiplicity (>= 9) hadronic jet events. Wepropose modest alterations to the canonical background selection cut strategywhich would enhance resolution of these events, while readily suppressing thecontribution of all Standard Model processes, and allowing a cleardifferentiation from competing models of new physics. Detection by the LHC ofthe ultra-high jet signal would constitute a suggestive evocation of theintimately linked stringy origins of F-SU(5), and could provide a glimpse intothe fundamental string moduli, and possibly even the workings of the No-ScaleMultiverse.",A Multi-task Framework for Skin Lesion Detection and Segmentation,A Multi-Task Convolutional Neural Network for Skin Lesion Segmentation,0.7,0.37531192687516973
"  It is well-known that proper scaling can increase the efficiency ofcomputational problems. In this paper we define and show that a balancingtechnique can substantially improve the computational efficiency of optimalcontrol algorithms. We also show that non-canonical scaling and balancingprocedures may be used quite effectively to reduce the computational difficultyof some hard problems. These results have been used successfully for severalflight and field operations at NASA and DoD. A surprising aspect of ouranalysis shows that it may be inadvisable to use auto-scaling proceduresemployed in some software packages. The new results are agnostic to thespecifics of the computational method; hence, they can be used to enhance theutility of any existing algorithm or software.",Progress on large area GEMs (VCI 2010),Large Area Gas Electron Multiplier Detector,0.30769230769230765,0
"  In this paper we discuss the existence of a control measure for a family ofmeasures on a Boolean algebra. We obtain a necessary and sufficient conditionand several related results, including a new criterion for weak compactness foradditive set functions on an algebra of sets.",Scattering of conformal higher spin fields,Tree-level Scattering of Conformal Higher Spin Fields,0.8571428571428571,0.4671379777282001
"  The increasing frequency, impact, consequence and sophistication ofcybersecurity attacks is becoming a strategic concern for boards and executivemanagement of organisations. Consequently, in addition to focusing onproductivity and performance, organisations are prioritizing InformationSecurity Management (ISM). However, research has revealed little or noconceptualisation of a dynamic ISM capability and its link to organisationalperformance. In this research, we set out to 1) define and describe anorganisational level dynamic ISM capability, 2) to develop a strategic modelthat links resources with this dynamic capability, and then 3) empiricallydemonstrate how dynamic ISM capability contributes to firm performance. Bydrawing on Resource-Based Theory (RBT) and Dynamic Capabilities View (DCV), wehave developed the Dynamic ISM Capability model to address the identified gap.As we develop this research, we will empirically test this model to demonstratecausality between ISM capability and organisational performance.","Architectures for Detecting Interleaved Multi-stage Network Attacks
  Using Hidden Markov Models",Hidden Markov Models for Interleaving Multiple Attacks,0.3157894736842105,0.26380128150117166
"  We construct Eberlein almost periodic functions $ f_j : J \to H$ so that  $||f_1(\cdot)||$ is not ergodic and thus not Eberlein almost periodic and$||f_2(.)||$ is Eberlein almost periodic, but $f_1$ and $f_2$ are not pseudoalmost periodic, the Parseval equation for them fails, where $J=\r_+$ or $\r$and $H$ is a Hilbert space. This answers several questions posed by Zhang andLiu [18].","A novel ECG signal denoising filter selection algorithm based on
  conventional neural networks","A Deep Learning Based Denoising Filter Selection Algorithm for Efficient
  Electrocardi",0.41666666666666663,0.4578141331660858
"  High precision measurements of the differential cross sections for $\pi^0$photoproduction at forward angles for two nuclei, $^{12}$C and $^{208}$Pb, havebeen performed for incident photon energies of 4.9 - 5.5 GeV to extract the${\pi^0 \to \gamma\gamma}$ decay width. The experiment was done at JeffersonLab using the Hall B photon tagger and a high-resolution multichannelcalorimeter. The ${\pi^0 \to \gamma\gamma}$ decay width was extracted byfitting the measured cross sections using recently updated theoretical modelsfor the process. The resulting value for the decay width is $\Gamma{(\pi^0 \to\gamma\gamma)} = 7.82 \pm 0.14 ~({\rm stat.}) \pm 0.17 ~({\rm syst.}) ~{\rmeV}$. With the 2.8% total uncertainty, this result is a factor of 2.5 moreprecise than the current PDG average of this fundamental quantity and it isconsistent with current theoretical predictions.",Determination of the width of the top quark,The top quark Gamma_t from the partial decaywidth of B(t -> W b,0.2727272727272727,0.4001601601922499
"  Overlay network topology together with peer/data organization and searchalgorithm are the crucial components of unstructured peer-to-peer (P2P)networks as they directly affect the efficiency of search on such networks.Scale-free (powerlaw) overlay network topologies are among structures thatoffer high performance for these networks. A key problem for these topologiesis the existence of hubs, nodes with high connectivity. Yet, the peers in atypical unstructured P2P network may not be willing or able to cope with suchhigh connectivity and its associated load. Therefore, some hard cutoffs areoften imposed on the number of edges that each peer can have, restrictingfeasible overlays to limited or truncated scale-free networks. In this paper,we analyze the growth of such limited scale-free networks and propose twodifferent algorithms for constructing perfect scale-free overlay networktopologies at each instance of such growth. Our algorithms allow the user todefine the desired scalefree exponent (gamma). They also induce lowcommunication overhead when network grows from one size to another. Usingextensive simulations, we demonstrate that these algorithms indeed generateperfect scale free networks (at each step of network growth) that providebetter search efficiency in various search algorithms than the networksgenerated by the existing solutions.",Spatial and Spatio-Temporal Multidimensional Data Modelling: A Survey,Spatial Data Models for Decision Making in Data Warehouses,0.3333333333333333,0.6865890479690392
"  The Hankel-norm approximation is a model reduction method which provides thebest approximation in the Hankel semi-norm. In this paper the computation ofthe optimal Hankel-norm approximation is generalized to the case of lineartime-invariant continuous-time descriptor systems. An efficient algorithm isdeveloped by refining the generalized balanced truncation square root method.For a wide practical usage, adaptations of the introduced algorithm towardsstable computations and sparse systems are made as well as an approach for aprojection-free algorithm. To show the approximation behavior of the introducedmethod, numerical examples are presented.",Effective Two Higgs Doublets in Nonminimal Supersymmetric Models,Two-Higgs Doublet Models with Extra U(1),0.5,0.45782273986766686
"  In this paper, we consider a class of transportation problems which arises insample surveys and other areas of statistics. The associated cost matrices ofthese transportation problems are of special structure. We observe that theoptimality of North West corner solution holds for the general problem wherecost component is replaced by a convex function. We revisit assignment problemand present a weighted version of K$\ddot{o}$nig-Egerv$\acute{a}$ry theorem andHungarian method. The weighted Hungarian method proposed in the paper can beused for solving transportation problem.","Data, text and web mining for business intelligence: a survey",Data Mining and Web Mining for Hidden Knowledge,0.5555555555555556,0.5506953149031838
"  We present, in a unified way, a Stein methodology for infinitely divisiblelaws (without Gaussian component) having finite first moment. Based on acorrelation representation, we obtain a characterizing non-local Stein operatorwhich boils down to classical Stein operators in specific examples. Thanks tothis characterizing operator, we introduce various extensions of size bias andzero bias distributions and prove that these notions are closely linked toinfinite divisibility. Combined with standard Fourier techniques, theseextensions also allow obtaining explicit rates of convergence for compoundPoisson approximation in particular towards the symmetric $\alpha$-stabledistribution. Finally, in the setting of non-degenerate self-decomposable laws,by semigroup techniques, we solve the Stein equation induced by thecharacterizing non-local Stein operator and obtain quantitative bounds in weaklimit theorems for sums of independent random variables going back to the workof Khintchine and L\'evy.",Reinforcing the no-lose theorem for NMSSM Higgs discovery at the LHC,The LHC to Detect CP-odd Higgs Bosons in the NMSSM,0.2608695652173913,0.7195907128571539
"  We present a class of analytic solutions of cubic superstring field theory inthe universal sector on a non-BPS D-brane. Computation of the action and gaugeinvariant overlap reveal that the solutions carry half the tension of a non-BPSD-brane. However, the solutions do not satisfy the reality condition. In fact,they display an intriguing topological structure: We find evidence thatconjugation of the solutions is equivalent to a gauge transformation thatcannot be continuously deformed to the identity.",Image denoising by median filter in wavelet domain,Wavelet transform based image de-noising method,0.13333333333333333,0
  In this work we present a case that Microscopic Black Holes (MBH) of mass$10^{16}\ kg$ to $3 \cdot 10^{19}\ kg$ experience acceleration as they movewithin stellar material at low velocities. The accelerating forces are causedby the fact that a MBH moving through stellar material leaves a trail of hotrarified gas. The rarified gas behind a MBH exerts lower gravitational force onthe MBH than the dense gas in front of it. The accelerating forces exceed thegravitational drag forces when MBH moves at Mach number$\mathcal{M}<\mathcal{M}_0$. The equilibrium Mach number $\mathcal{M}_0$depends on MBH mass and stellar material characteristics. Our calculations openthe possibility of MBH orbiting within stars including Sun at Mach number$\mathcal{M}_0$. At the end of this work we list some unresolved problems whichresult from our calculations.,"Generation of Cooperative Perception Messages for Connected and
  Automated Vehicles","A New Approach for Collective Perception in Connected and Automated
  Vehicles",0.47619047619047616,0.2596535889340338
"  We prove that an ultradistribution is rotation invariant if and only if itcoincides with its spherical mean. For it, we study the problem of sphericalrepresentations of ultradistributions on $\mathbb{R}^{n}$. Our results apply toboth the quasianalytic and the non-quasianalytic case.",Black hole lightning due to particle acceleration at subhorizon scales,Gamma-ray observations of IC 310,0.0,0
"  Formation mechanism of a supergiant H II region NGC 604 is discussed in termsof collision of H I clouds in M33. An analysis of the archival H I dataobtained with the Very Large Array (VLA) reveals complex velocity distributionsaround NGC 604. The H I clouds are composed of two velocity componentsseparated by ~ 20 km s^-1 for an extent of ~ 700 pc, beyond the size of the theH II region. Although the H I clouds are not easily separated in velocity withsome mixed component represented by merged line profiles, the atomic gas massamounts to 6 x 10^6 M_Sol and 9 x 10^6 M_Sol for each component. Thesecharacteristics of H I gas and the distributions of dense molecular gas in theoverlapping regions of the two velocity components suggest that the formationof giant molecular clouds and the following massive cluster formation have beeninduced by the collision of H I clouds with different velocities. Referring tothe existence of gas bridging feature connecting M33 with M31 reported bylarge-scale HI surveys, the disturbed atomic gas possibly represent the resultof past tidal interaction between the two galaxies, which is analogous to theformation of the R136 cluster in the LMC.",TWIST: Precision Measurement of the Muon Decay Parameters,Measurement of three decay parameters in muon decay,0.5,0.43472087194499137
"  The fusion probability in ""hot"" fusion reactions leading to the synthesis ofsuper-heavy nuclei is investigated systematically. The quasi-fission barrierinfluences the formation of the super-heavy nucleus around the ""island ofstability"" in addition to the shell correction. Based on the quasi-fissionbarrier height obtained with the Skyrme energy-density functional, we proposean analytical expression for the description of the fusion probability, withwhich the measured evaporation residual cross sections can be reproducedacceptably well. Simultaneously, some special fusion reactions for synthesizingnew elements 119 and 120 are studied. The predicted evaporation residual crosssections for 50Ti+249Bk are about 10-150fb at energies around theentrance-channel Coulomb barrier. For the fusion reactions synthesizing element120 with projectiles 54Cr and 58Fe, the cross sections fall to a few femtobarnswhich seems beyond the limit of the available facilities.","Supersymmetric U(1)B x U(1)L model with leptophilic and leptophobic cold
  dark matters",Cold Dark Matter in a Supersymmetric Model with U(1)_B \times,0.28571428571428575,0.5475182535069453
"  We investigate coarse equilibrium states of a fine-scale, stochasticagent-based model of consumer lock-in in a duopolistic market. In the model,agents decide on their next purchase based on a combination of their personalpreference and their neighbours' opinions. For agents with independentidentically-distributed parameters and all-to-all coupling, we derive ananalytic approximate coarse evolution-map for the expected average purchase. Wethen study the emergence of coarse fronts when spatial segregation is presentin the relative perceived quality of products. We develop a novel Newton-Krylovmethod that is able to compute accurately and efficiently coarse fixed pointswhen the underlying fine-scale dynamics is stochastic. The main novelty of thealgorithm is in the elimination of the noise that is generated when estimatingJacobian-vector products using time-integration of perturbed initialconditions. We present numerical results that demonstrate the convergenceproperties of the numerical method, and use the method to show that macroscopicfronts in this model destabilise at a coarse symmetry-breaking bifurcation.",Spatio-Temporal Linkage over Location Enhanced Services,A Scalable Linkage Model for Spatio-Temporal Usage Data,0.25,0.7071067811865476
"  EM emissions in a wide frequency spectrum ranging from kHz to MHz areproduced by opening cracks, which can be considered as precursors of generalfracture. An important feature, observed on both laboratory and geophysicalscale, is that the MHz radiation systematically precedes the kHz one. Yet, thelink between an individual EM precursor and a distinctive stage of the EQpreparation comprises a crucial open question. A recently proposed two-stagemodel on preseismic EM activity suggests that the MHz EM emission is due to thefracture of the highly heterogeneous system that surrounds the fault. Thefinally emerged kHz EM emission is rooted in the final stage of EQ generation,namely, the fracture of entities sustaining the system. In this work we try tofurther penetrate and elucidate the link of the precursory kHz EM activity withthe last stage of EQ generation building on two theoretical models for EQdynamics. Firstly, the self-affine model states that an EQ is due to theslipping of two rough and rigid fractional Brownian profiles, one over theother, when there is an intersection between them. Secondly, thefragment-asperity model, rooted in a nonextensive Tsallis framework startingfrom first principles, consists of two rough profiles interacting via fragmentsfilling the gap. In the latter approach, the mechanism of triggering EQ isestablished through the interaction of the irregularities of the fault planesand the fragments between them. This paper shows that these models of EQdynamics can be linked with the detected kHz EM emission. In this framework ofanalysis of preseismic EM activity, we identify sufficient criteria that offerthe possibility to discriminate whether a seismic shock is sourced in thefracture of fragments filling the gap between the rough profiles or in thefracture of ""teeth"" distributed across the fractional Brownian profiles thatsustain the system.","Scalar particles emission from black holes with topological defects
  using Hamilton-Jacobi method","Hawking temperature and tunneling probabilities of Schwarzschild-de Sitter and
 ",0.0,0
